C, 24, TOR, 14, 0, 254, 41, 95, .432, 6, 23, .261, 35, 72, .486, .463, 14, 25, .560, 32, 54, 86, 28, 8, 6, 18, 25, 102, 
C, 26, MIA, 16, 16, 537, 132, 253, .522, 1, 3, .333, 131, 250, .524, .524, 91, 112, .813, 33, 126, 159, 62, 19, 16, 39, 39, 356, 
SG, 23, UTA, 20, 8, 402, 44, 96, .458, 23, 59, .390, 21, 37, .568, .578, 4, 6, .667, 18, 36, 54, 22, 12, 12, 15, 29, 115, 
PF, 23, MEM, 13, 4, 354, 72, 159, .453, 23, 74, .311, 49, 85, .576, .525, 14, 23, .609, 19, 63, 82, 25, 10, 9, 16, 24, 181, 
SG, 25, MIN, 19, 8, 447, 48, 117, .410, 26, 75, .347, 22, 42, .524, .521, 5, 11, .455, 8, 33, 41, 51, 18, 14, 20, 37, 127, 
SG, 28, PHO, 18, 18, 590, 72, 148, .486, 40, 86, .465, 32, 62, .516, .622, 29, 33, .879, 14, 69, 83, 53, 11, 7, 28, 42, 213, 
C, 25, CLE, 15, 15, 441, 83, 120, .692, 0, 0, , 83, 120, .692, .692, 41, 55, .745, 48, 73, 121, 35, 8, 17, 26, 40, 207, 
PG, 25, NOP, 7, 0, 113, 19, 47, .404, 9, 24, .375, 10, 23, .435, .500, 2, 6, .333, 4, 10, 14, 14, 7, 1, 7, 9, 49, 
PF, 30, MIN, 19, 0, 459, 53, 106, .500, 2, 12, .167, 51, 94, .543, .509, 30, 44, .682, 15, 57, 72, 76, 16, 15, 31, 28, 138, 
PF, 29, MIL, 19, 19, 652, 219, 361, .607, 8, 35, .229, 211, 326, .647, .618, 123, 188, .654, 53, 152, 205, 94, 26, 26, 79, 59, 569, 
PF, 31, MIL, 7, 0, 44, 3, 8, .375, 0, 0, , 3, 8, .375, .375, 0, 0, , 2, 2, 4, 4, 1, 1, 4, 7, 6, 
PG, 23, ORL, 20, 0, 515, 98, 221, .443, 29, 78, .372, 69, 143, .483, .509, 79, 93, .849, 22, 69, 91, 71, 15, 10, 41, 60, 304, 
SF, 26, TOR, 16, 16, 509, 88, 190, .463, 40, 100, .400, 48, 90, .533, .568, 17, 29, .586, 17, 49, 66, 34, 18, 12, 28, 38, 233, 
PG, 29, NYK, 5, 0, 11, 0, 1, .000, 0, 1, .000, 0, 0, , .000, 0, 0, , 0, 2, 2, 0, 0, 0, 0, 0, 0, 
SF, 23, WAS, 19, 19, 506, 92, 175, .526, 20, 52, .385, 72, 123, .585, .583, 29, 35, .829, 25, 75, 100, 70, 17, 5, 27, 44, 233, 
C, 25, POR, 18, 18, 575, 108, 184, .587, 0, 0, , 108, 184, .587, .587, 17, 21, .810, 56, 138, 194, 28, 22, 13, 35, 46, 233, 
C, 24, PHO, 2, 0, 9, 1, 1, 1.000, 0, 0, , 1, 1, 1.000, 1.000, 0, 0, , 0, 4, 4, 0, 0, 0, 0, 1, 2, 
C, 24, DET, 19, 6, 343, 73, 127, .575, 1, 5, .200, 72, 122, .590, .579, 40, 46, .870, 35, 56, 91, 23, 2, 12, 22, 29, 187, 
PG, 19, CHO, 1, 0, 3, 1, 3, .333, 0, 0, , 1, 3, .333, .333, 0, 0, , 2, 0, 2, 0, 0, 0, 0, 0, 2, 
SF, 21, WAS, 3, 0, 11, 0, 2, .000, 0, 1, .000, 0, 1, .000, .000, 0, 0, , 0, 1, 1, 1, 0, 0, 0, 1, 0, 
PG, 22, CHO, 15, 15, 501, 132, 298, .443, 52, 134, .388, 80, 164, .488, .530, 54, 63, .857, 23, 59, 82, 123, 21, 4, 59, 52, 370, 
C, 25, PHI, 9, 0, 57, 13, 24, .542, 3, 7, .429, 10, 17, .588, .604, 6, 8, .750, 12, 9, 21, 1, 1, 7, 6, 7, 35, 
PF, 21, ORL, 20, 20, 668, 141, 293, .481, 27, 61, .443, 114, 232, .491, .527, 81, 121, .669, 27, 110, 137, 97, 21, 11, 62, 46, 390, 
SG, 25, MEM, 19, 19, 646, 164, 362, .453, 62, 168, .369, 102, 194, .526, .539, 62, 73, .849, 18, 66, 84, 99, 26, 13, 52, 59, 452, 
PG, 24, BOS, 9, 1, 80, 13, 26, .500, 1, 7, .143, 12, 19, .632, .519, 5, 6, .833, 9, 12, 21, 4, 2, 2, 2, 11, 32, 
PF, 20, SAS, 7, 0, 35, 3, 7, .429, 0, 0, , 3, 7, .429, .429, 2, 4, .500, 0, 5, 5, 0, 1, 0, 0, 2, 8, 
PF, 31, SAC, 18, 18, 566, 75, 156, .481, 33, 87, .379, 42, 69, .609, .587, 38, 45, .844, 14, 44, 58, 27, 14, 2, 14, 21, 221, 
SG, 22, TOR, 20, 20, 696, 146, 313, .466, 39, 102, .382, 107, 211, .507, .529, 61, 79, .772, 53, 128, 181, 109, 36, 26, 46, 42, 392, 
SG, 23, NYK, 14, 14, 410, 88, 209, .421, 28, 72, .389, 60, 137, .438, .488, 56, 67, .836, 7, 44, 51, 38, 7, 3, 28, 22, 260, 
C, 23, SAS, 19, 0, 205, 29, 40, .725, 0, 1, .000, 29, 39, .744, .725, 5, 6, .833, 23, 53, 76, 21, 8, 17, 15, 31, 63, 
